lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date
52.204,4.795,12.556267,12.556267,12.556267,0.5938423,0.5938423,0.5938423,0.71464354,0.71464354,0.71464354,0.8205083,0.8205083,0.8205083,72.70923,72.70923,72.70923,2022-11-04
52.205,4.795,12.564279,12.486839,12.628366,4.340982,0.8012689,7.789804,4.6553483,0.96301436,8.237426,4.7346416,1.1043295,8.237426,71.32562,69.52467,72.93353,2022-11-04
52.205,4.796,12.607671,12.473487,12.729839,4.0659914,1.2706025,6.7970634,4.4020133,1.5269051,7.187639,4.527056,1.75077,7.187639,70.72327,69.12947,72.44525,2022-11-04
52.205,4.797,12.638514,12.572289,12.711146,3.5232234,0.9506839,7.094675,3.8327758,1.1442196,7.5025606,3.9635847,1.3138752,7.502817,70.645,69.03792,72.52307,2022-11-04
52.205,4.798,12.63571,12.615014,12.684443,3.0326686,1.2547199,7.914699,3.3568513,1.509281,8.369519,3.5399566,1.7321333,8.369551,71.64682,69.72609,73.18532,2022-11-04
52.205,4.799,12.516212,12.516212,12.516212,7.69492,7.69492,7.69492,8.137089,8.137089,8.137089,8.137089,8.137089,8.137089,70.00534,70.00534,70.00534,2022-11-04
52.206,4.799,12.671091,12.671091,12.671091,0.8726956,0.8726956,0.8726956,1.0455098,1.0455098,1.0455098,1.195331,1.195331,1.195331,71.96916,71.96916,71.96916,2022-11-04
52.206,4.8,12.608784,12.486839,12.711146,5.009267,0.9296641,7.134615,5.3625646,1.114444,7.5590568,5.4425077,1.2748808,7.5767336,70.0979,68.74036,72.788574,2022-11-04
52.206,4.801,12.689783,12.615014,12.74319,0.99963135,0.9008462,1.0915794,1.1980935,1.0786263,1.3098389,1.3703315,1.2325367,1.4998031,72.83537,72.69092,73.05867,2022-11-04
52.206,4.802,12.675097,12.615014,12.772564,2.8273284,0.9829254,7.545968,3.137748,1.1781776,8.043399,3.318453,1.3476677,8.121347,72.669556,69.18898,74.37247,2022-11-04
52.207,4.802,12.598992,12.598992,12.598992,7.7071157,7.7071157,7.7071157,8.214259,8.214259,8.214259,8.292761,8.292761,8.292761,69.22255,69.22255,69.22255,2022-11-04
52.207,4.803,12.663748,12.585641,12.772564,4.750775,1.2670056,8.027589,5.161329,1.5135423,8.568453,5.329342,1.725732,8.6656475,71.03608,69.216446,73.07698,2022-11-04
52.207,4.804,12.721447,12.641718,12.799267,4.0764813,0.9929026,8.150704,4.4427004,1.1799666,8.736747,4.6038895,1.3387549,8.88048,71.24109,69.190506,72.573425,2022-11-04
52.207,4.805,12.734645,12.615014,12.785915,3.880485,1.2165354,7.7901626,4.2307673,1.4161036,8.359686,4.3862453,1.5744687,8.508544,71.29716,68.696106,73.475235,2022-11-04
52.207,4.806,12.542915,12.542915,12.542915,1.142624,1.142624,1.142624,1.3256482,1.3256482,1.3256482,1.4689955,1.4689955,1.4689955,71.24132,71.24132,71.24132,2022-11-04
52.208,4.806,12.760992,12.655069,12.855344,5.5512285,1.0664407,7.855603,5.906217,1.2344376,8.30713,5.950188,1.3647771,8.307283,69.66353,68.6366,71.515976,2022-11-04
52.208,4.807,12.816357,12.756542,12.855344,4.098063,1.5205842,7.81694,4.430076,1.7605345,8.2661295,4.5479736,1.9468826,8.266144,71.54589,69.06233,74.6044,2022-11-04
52.208,4.808,12.797131,12.729839,12.855344,3.576565,0.98482305,7.5389256,3.8440573,1.1288683,7.9721313,3.9197507,1.2356827,7.9721313,71.98839,68.667114,74.9523,2022-11-04
52.208,4.809,12.858682,12.711146,12.996871,2.5095854,1.0398656,6.6909328,2.7204082,1.1797752,7.0754104,2.8017704,1.2776752,7.0754104,72.3846,68.937195,74.0795,2022-11-04
52.209,4.81,12.884049,12.628366,13.026245,2.688584,1.0596262,7.3222528,2.9056513,1.200964,7.7430077,2.9820776,1.2992207,7.7430077,73.785,69.2668,75.41771,2022-11-04
52.209,4.811,12.817069,12.641718,12.911421,3.4781485,1.3417412,7.7301936,3.7392886,1.5106809,8.175678,3.8141325,1.622851,8.177258,73.623245,69.953445,75.585556,2022-11-04
52.209,4.812,12.916761,12.671091,13.039597,3.5318446,1.4059769,7.6569214,3.801695,1.5820934,8.097041,3.8834074,1.6985203,8.097207,73.064255,69.84511,74.73715,2022-11-04
52.209,4.813,12.819028,12.671091,13.026245,5.364443,1.4483787,8.030996,5.7143784,1.6309568,8.492476,5.7652874,1.7522998,8.492476,71.29868,69.49263,73.89485,2022-11-04
52.209,4.814,12.898069,12.841992,12.927443,1.254817,1.1251389,1.350074,1.4107572,1.2624861,1.5200434,1.5131507,1.3512723,1.6328864,73.98565,73.379105,74.90347,2022-11-04
52.21,4.814,12.671091,12.671091,12.671091,8.800926,8.800926,8.800926,9.306649,9.306649,9.306649,9.306649,9.306649,9.306649,69.3965,69.3965,69.3965,2022-11-04
52.209,4.815,12.799267,12.799267,12.799267,1.0626948,1.0626948,1.0626948,1.1967242,1.1967242,1.1967242,1.2858403,1.2858403,1.2858403,74.92636,74.92636,74.92636,2022-11-04
52.21,4.815,12.791256,12.711146,12.871366,4.7881217,0.92803675,8.648207,5.0946074,1.0440607,9.145154,5.132895,1.120636,9.145154,72.25452,69.34004,75.16899,2022-11-04
52.21,4.816,12.731619,12.684443,12.799267,3.535611,1.1300155,8.323536,3.788458,1.2697526,8.8018265,3.8491383,1.3611152,8.8018265,72.22145,69.39955,74.462494,2022-11-04
52.21,4.817,12.704025,12.556267,12.799267,3.5044625,1.023126,8.361071,3.7497253,1.1430582,8.841518,3.803329,1.2177334,8.841518,71.47478,69.24544,72.747375,2022-11-04
52.211,4.818,12.763217,12.684443,12.812619,2.7458107,0.96033204,8.06602,2.9446337,1.0713634,8.529513,2.9947608,1.1395743,8.529513,72.29609,69.80849,73.415726,2022-11-04
52.212,4.819,12.795929,12.671091,12.884718,4.4415984,0.59926945,8.144385,4.717903,0.6625681,8.612382,4.7436495,0.6978207,8.612382,71.82345,70.20981,73.73921,2022-11-04
52.212,4.82,12.835317,12.799267,12.871366,0.2728145,0.23297903,0.31265002,0.3013618,0.2575147,0.3452089,0.31708148,0.2711306,0.3630324,71.899734,71.88219,71.91728,2022-11-04
52.213,4.82,12.813954,12.74319,12.884718,4.092815,0.35730296,7.828327,4.33588,0.39359778,8.278162,4.345506,0.4128505,8.278162,71.68459,71.27794,72.09125,2022-11-04
52.213,4.821,12.794816,12.74319,12.855344,2.9410515,0.31464437,8.120278,3.1195571,0.34516367,8.586889,3.1311674,0.36035654,8.586889,71.02057,70.896454,71.090256,2022-11-04
52.214,4.821,12.884718,12.884718,12.884718,0.3260877,0.3260877,0.3260877,0.3572912,0.3572912,0.3572912,0.37251648,0.37251648,0.37251648,71.70824,71.70824,71.70824,2022-11-04
52.214,4.822,12.813287,12.697795,12.898069,4.403011,0.35569316,8.405032,4.663757,0.3896165,8.888006,4.6732073,0.40608564,8.888006,71.326004,70.40207,72.09125,2022-11-04
52.215,4.822,12.927443,12.927443,12.927443,0.40007654,0.40007654,0.40007654,0.4380727,0.4380727,0.4380727,0.45640156,0.45640156,0.45640156,72.614624,72.614624,72.614624,2022-11-04
52.215,4.823,12.931716,12.74319,13.138399,3.6616156,0.3786697,8.47196,3.8838081,0.4144856,8.958779,3.8982048,0.43165383,8.958779,72.22795,70.48447,73.46913,2022-11-04
52.215,4.824,12.968833,12.954146,12.98352,0.6456642,0.5739968,0.7173316,0.70531785,0.6269396,0.78369606,0.7328623,0.6513175,0.8144071,71.05515,70.315094,71.79521,2022-11-04
52.215,4.825,12.968164,12.756542,13.237201,4.094272,0.6073455,7.654169,4.339789,0.66257256,8.093997,4.3523083,0.68739986,8.093997,71.15968,70.87967,71.54802,2022-11-04
52.215,4.826,13.15264,12.855344,13.352025,2.8688884,0.7209598,7.035495,3.050744,0.7861175,7.4397717,3.0715103,0.81509984,7.4397717,71.26471,70.61722,71.94475,2022-11-04
52.215,4.827,13.128608,12.756542,13.322652,3.1206017,0.7867612,7.64379,3.3164692,0.8532913,8.083021,3.3366828,0.87933207,8.083021,70.88578,70.45853,71.227585,2022-11-04
52.215,4.828,13.066299,12.655069,13.293278,2.9517856,0.5776008,7.678207,3.130615,0.62378436,8.119415,3.1418672,0.63965374,8.119415,70.95292,70.70114,71.24132,2022-11-04
52.215,4.829,13.011559,12.74319,13.279926,4.0573125,0.5852634,7.5293612,4.2965584,0.6310998,7.962017,4.3040123,0.6460076,7.962017,70.73929,70.69504,70.78354,2022-11-04
52.214,4.83,13.14819,12.871366,13.293278,3.105188,0.59471,8.041921,3.291574,0.6393664,8.504029,3.3012893,0.6521699,8.504029,70.29627,69.683365,70.984955,2022-11-04
52.214,4.831,13.133059,12.855344,13.279926,3.0580547,0.60351324,7.82225,3.246953,0.6480162,8.28966,3.2630436,0.66001457,8.311549,69.72863,68.996704,70.48599,2022-11-04
52.214,4.832,13.209607,12.812619,13.408102,3.1694803,0.64271194,8.131742,3.3591778,0.6890265,8.601008,3.368426,0.7004861,8.603448,69.90513,69.45448,70.70419,2022-11-04
52.214,4.833,13.450827,13.450827,13.450827,0.5124422,0.5124422,0.5124422,0.54931295,0.54931295,0.54931295,0.5583814,0.5583814,0.5583814,70.29373,70.29373,70.29373,2022-11-04
52.214,4.834,13.422789,13.39475,13.450827,0.490797,0.45582092,0.5257731,0.5261025,0.48869416,0.56351084,0.53477806,0.49685374,0.57270235,70.45853,69.84511,71.071945,2022-11-04
52.214,4.835,13.295058,12.871366,13.576333,2.8000135,0.5945622,7.12566,2.9668071,0.6367351,7.5360913,2.9740121,0.64651555,7.5372844,70.61925,69.94429,71.95848,2022-11-04
52.214,4.836,13.493553,13.493553,13.493553,0.8625313,0.8625313,0.8625313,0.9226887,0.9226887,0.9226887,0.93562794,0.93562794,0.93562794,69.20729,69.20729,69.20729,2022-11-04
52.213,4.837,13.437476,13.381399,13.493553,0.881159,0.8617413,0.9005767,0.9418955,0.9209802,0.96281075,0.9542348,0.93285346,0.9756161,68.86701,68.56641,69.16762,2022-11-04
52.184,4.838,10.099565,10.099565,10.099565,16.111464,16.111464,16.111464,17.037275,17.037275,17.037275,17.03729,17.03729,17.03729,78.87845,78.87845,78.87845,2022-11-04
52.188,4.838,12.183757,12.099641,12.267872,3.5484684,3.479302,3.6176348,3.7523718,3.679231,3.8255126,3.7523718,3.679231,3.8255126,68.61447,68.55267,68.67627,2022-11-04
52.189,4.838,11.835279,10.056839,12.478828,7.6744523,3.8443618,18.449896,8.115446,4.0652676,19.510078,8.115447,4.0652676,19.510084,71.43893,69.039444,78.3566,2022-11-04
52.213,4.838,13.238536,12.871366,13.605706,4.024525,0.9817095,7.0673404,4.264334,1.0489621,7.479706,4.274777,1.0622028,7.487351,70.489044,69.179825,71.79826,2022-11-04
52.183,4.839,10.971427,10.211718,11.731136,10.283773,4.619002,15.948545,10.874762,4.8844204,16.865103,10.874834,4.8844204,16.865248,76.25848,73.55153,78.96542,2022-11-04
52.184,4.839,11.19084,10.112916,11.757839,7.957682,4.019076,15.512733,8.414948,4.250021,16.40413,8.414948,4.250021,16.40413,75.45432,73.69954,78.7457,2022-11-04
52.187,4.839,11.411587,10.254444,12.024872,8.188799,3.3108325,17.863102,8.662857,3.5010808,18.900091,8.667145,3.5010808,18.912956,72.1594,68.69,78.42374,2022-11-04
52.188,4.839,10.099565,10.099565,10.099565,18.7202,18.7202,18.7202,19.797083,19.797083,19.797083,19.798521,19.798521,19.798521,78.36575,78.36575,78.36575,2022-11-04
52.189,4.839,10.14229,10.14229,10.14229,16.567343,16.567343,16.567343,17.51934,17.51934,17.51934,17.51934,17.51934,17.51934,78.44357,78.44357,78.44357,2022-11-04
52.19,4.839,12.550926,12.550926,12.550926,3.865674,3.865674,3.865674,4.087805,4.087805,4.087805,4.087805,4.087805,4.087805,69.05165,69.05165,69.05165,2022-11-04
52.213,4.839,13.31375,12.799267,13.592355,3.2581124,1.1731791,6.661285,3.457418,1.25344,7.0446916,3.47218,1.269131,7.045462,69.51654,68.155945,71.35576,2022-11-04
52.182,4.84,10.8365755,10.112916,11.560234,9.490586,4.67952,14.301652,10.040958,4.948416,15.1335,10.0470915,4.948416,15.145766,76.23331,74.36789,78.098724,2022-11-04
